CONF ID,Conference,Games,ConfWins,ConfLoss,WinPercent,R64,R32,S16,E8,F4,F2,Champion,Top2,ProbChamp
2,ACC,231,145,86,0.628,91,61,39,22,11,7,5,26,95.00%
24,P12,137,78,59,0.569,59,40,26,9,3,0,0,8,64.40%
28,SEC,177,103,74,0.582,75,48,28,17,7,2,1,13,86.50%
14,Horz,28,12,16,0.429,16,4,2,2,2,2,0,0,3.70%
13,CUSA,34,17,17,0.5,17,9,3,2,2,1,0,2,31.90%
19,MVC,41,21,20,0.512,20,12,5,2,2,0,0,1,17.10%
15,Ivy,21,7,14,0.333,14,5,2,0,0,0,0,0,0.50%
16,MAAC,19,5,14,0.263,14,3,1,1,0,0,0,0,0.00%
26,SB,18,4,14,0.222,14,3,1,0,0,0,0,0,0.20%
29,Slnd,15,3,12,0.2,12,3,0,0,0,0,0,0,0.30%
12,CAA,24,7,17,0.292,17,4,1,1,1,0,0,0,1.10%
21,NEC,10,1,9,0.1,9,1,0,0,0,0,0,0,0.00%
17,MAC,21,6,15,0.286,15,5,1,0,0,0,0,0,0.20%
22,OVC,19,5,14,0.263,14,5,0,0,0,0,0,0,0.30%
18,MEAC,12,1,11,0.083,11,1,0,0,0,0,0,0,0.00%
5,ASun,19,4,15,0.211,15,3,1,0,0,0,0,0,0.50%
6,B10,234,136,98,0.581,98,72,37,14,9,4,0,19,91.20%
31,SWAC,7,0,7,0,7,0,0,0,0,0,0,0,0.00%
27,SC,20,5,15,0.25,15,3,1,1,0,0,0,0,2.40%
30,Sum,18,3,15,0.167,15,2,1,0,0,0,0,0,0.00%
10,BSth,13,0,13,0,13,0,0,0,0,0,0,0,0.00%
11,BW,17,2,15,0.118,15,2,0,0,0,0,0,0,0.20%
3,AE,16,1,15,0.062,15,1,0,0,0,0,0,0,0.00%
33,WCC,66,38,28,0.576,28,19,10,5,2,2,0,6,70.40%
25,Pat,16,1,15,0.062,15,1,0,0,0,0,0,0,0.10%
1,A10,76,30,46,0.395,46,21,7,2,0,0,0,0,9.00%
9,BSky,15,0,15,0,15,0,0,0,0,0,0,0,0.00%
8,BE,220,130,90,0.591,95,60,31,18,11,5,5,21,93.00%
4,Amer,48,27,21,0.562,22,14,6,3,2,1,1,3,51.20%
32,WAC,17,1,16,0.059,16,1,0,0,0,0,0,0,1.00%
7,B12,224,132,92,0.589,95,65,32,20,7,5,3,20,93.70%
20,MWC,57,20,37,0.351,37,12,5,1,1,1,0,1,18.20%
