Year,TeamID,Team,Seed,Round,WinPercent,Outscore,Wins,Losses,fgPercent,OfgPercent,Talent
2023,3,Alabama,1,16,100,33,15,0,56.3,40.1,66.119
2023,8,Arizona,2,64,88.23529412,23.7,15,2,57.3,45.4,73.326
2023,9,Arizona St.,11,64,66.66666667,12.5,10,5,49.5,44.4,48.279
2023,10,Arkansas,8,16,82.35294118,20.9,14,3,52.9,43.7,70.997
2023,12,Auburn,9,32,87.5,19.4,14,2,50.2,45,47.081
2023,14,Baylor,3,32,82.35294118,23.3,14,3,54.8,49.3,57.276
2023,17,Boise St.,10,64,93.33333333,17.7,14,1,54,45.3,17.176
2023,36,Colgate,15,64,86.66666667,3.3,13,2,59.1,52.2,0.2
2023,37,College of Charleston,12,64,94.11764706,13.6,16,1,52.6,49,0.2
2023,40,Connecticut,4,1,88.23529412,26.6,15,2,55.7,44.1,62.486
2023,43,Creighton,6,8,86.66666667,26.3,13,2,57.4,44.9,67.359
2023,48,Drake,12,64,92.85714286,15,13,1,53.7,46.2,12.076
2023,50,Duke,5,32,100,20.9,16,0,52.4,44.4,81.592
2023,54,Fairleigh Dickinson,16,32,61.53846154,-12.7,8,5,52.4,55.9,0.2
2023,56,Florida Atlantic,9,4,100,19.3,15,0,56.9,48,17.083
2023,60,Furman,13,32,84.61538462,5.4,11,2,55.9,51.4,4.159
2023,68,Gonzaga,3,8,93.33333333,25.2,14,1,60.2,50.8,76.992
2023,69,Grand Canyon,14,64,73.33333333,5.6,11,4,53.6,45.7,20.262
2023,76,Houston,1,16,88.88888889,28.8,16,2,52.6,41.7,68.424
2023,77,Howard,16,64,81.81818182,3.1,9,2,58.1,50.3,10.987
2023,78,Illinois,9,64,88.23529412,15.3,15,2,52.4,44,80.461
2023,79,Indiana,4,32,88.23529412,20.3,15,2,56.8,46.9,83.728
2023,81,Iona,13,64,91.66666667,16.5,11,1,51.8,42.8,4.177
2023,82,Iowa,8,64,82.35294118,19.7,14,3,56.6,54.2,48.548
2023,83,Iowa St.,6,64,81.25,23.7,13,3,52.8,47.1,35.584
