Year,TeamID,Team,Seed,Round,WinPercent,Outscore,Wins,Losses,fgPercent,OfgPercent,Talent
2023,3,Alabama,1,16,73.6842,22.6,14,5,49.8,42.5,66.119
2023,8,Arizona,2,64,76.4706,24.6,13,4,56.4,49,73.326
2023,9,Arizona St.,11,64,63.1579,11.6,12,7,46.1,47.9,48.279
2023,10,Arkansas,8,16,37.5,16.4,6,10,51,49.6,70.997
2023,12,Auburn,9,32,37.5,16.1,6,10,49,46.3,47.081
2023,14,Baylor,3,32,53.3333,19.6,8,7,51,53.8,57.276
2023,17,Boise St.,10,64,52.9412,13.3,9,8,50.1,49,17.176
2023,36,Colgate,15,64,66.6667,8,12,6,58.2,51.6,0.2
2023,37,College of Charleston,12,64,87.5,9.4,14,2,50.3,46.8,0.2
2023,40,Connecticut,4,1,62.5,26.4,10,6,51.1,47.1,62.486
2023,43,Creighton,6,8,44.4444,17.1,8,10,51.7,49.1,67.359
2023,48,Drake,12,64,68.4211,9.7,13,6,52.6,48.1,12.076
2023,50,Duke,5,32,55.5556,16.9,10,8,49.8,48,81.592
2023,54,Fairleigh Dickinson,16,32,47.3684,-12.3,9,10,50.8,55.8,0.2
2023,56,Florida Atlantic,9,4,82.3529,15.7,14,3,53.3,44.1,17.083
2023,60,Furman,13,32,72.2222,9.5,13,5,55.4,50.1,4.159
2023,68,Gonzaga,3,8,76.4706,23.2,13,4,57,52.5,76.992
2023,69,Grand Canyon,14,64,58.8235,4.9,10,7,52.2,48.6,20.262
2023,76,Houston,1,16,93.75,29.3,15,1,52.7,43.4,68.424
2023,77,Howard,16,64,50,-9.2,10,10,48.8,50.8,10.987
2023,78,Illinois,9,64,33.3333,13.9,5,10,50.6,50.2,80.461
2023,79,Indiana,4,32,43.75,13.2,7,9,50.5,47.6,83.728
2023,81,Iona,13,64,72.7273,9.5,16,6,51.8,47.7,4.177
2023,82,Iowa,8,64,33.3333,12.7,5,10,46.3,52.3,48.548
2023,83,Iowa St.,6,64,37.5,13.6,6,10,48.7,52.9,35.584
2023,86,Kansas,1,32,66.6667,21.9,12,6,51.2,46.5,69.643
2023,87,Kansas St.,3,8,46.6667,13,7,8,52.5,52,48.155
2023,88,Kennesaw St.,14,64,61.1111,3.8,11,7,51.1,52.6,21.424
2023,89,Kent St.,13,64,68.4211,10,13,6,49.6,47.2,0.364
2023,90,Kentucky,6,32,50,15,7,7,47.7,49.8,61.864
2023,101,Louisiana Lafayette,13,64,63.1579,4.9,12,7,51.6,51.2,25.412
2023,107,Marquette,2,32,70.5882,24.2,12,5,54.4,49.3,59.052
2023,109,Maryland,8,32,31.25,12.5,5,11,48.1,48.1,44.421
2023,111,Memphis,8,64,68.4211,21.6,13,6,52.4,46.7,47.843
2023,113,Miami FL,5,4,60,18.8,9,6,52.2,49.9,44.964
2023,115,Michigan St.,7,16,41.1765,12.8,7,10,49.6,51,70.568
2023,120,Mississippi St.,11,68,52.9412,10.9,9,8,45.1,46.9,32.329
2023,122,Missouri,7,32,57.1429,16.1,8,6,53,54.8,21.934
2023,124,Montana St.,14,64,61.9048,6.1,13,8,49.9,49.9,12.887
2023,130,Nevada,11,68,47.0588,9.3,8,9,48.1,50.2,35.592
2023,138,North Carolina St.,11,64,50,15.2,8,8,49.6,48.1,54.561
2023,146,Northern Kentucky,16,64,47.0588,-1.9,8,9,47.8,52.6,3.153
2023,147,Northwestern,7,32,57.1429,18.5,8,6,48,51.2,46.694
2023,156,Oral Roberts,12,64,77.7778,9.2,14,4,54.2,49.2,19.093
2023,161,Penn St.,10,32,50,13.6,9,9,53.1,50.2,28.67
2023,162,Pittsburgh,11,32,50,12.2,8,8,52.9,49.5,25.648
2023,165,Princeton,15,16,64.2857,7.3,9,5,52.7,47.3,0.2
2023,166,Providence,11,64,40,15.7,6,9,48.8,50.5,60.631
2023,167,Purdue,1,64,83.3333,23.9,15,3,51.1,46.8,58.603
2023,175,Saint Mary's,5,32,66.6667,17.6,10,5,50.9,48.6,32.764
2023,179,San Diego St.,5,2,70.5882,17.2,12,5,47.6,48.8,37.236
2023,188,Southeast Missouri St.,16,68,45.4545,-7.7,10,12,49.3,50.6,2.128
2023,197,TCU,6,32,50,15,8,8,49.5,51,60.589
2023,199,Tennessee,4,16,52.9412,19.2,9,8,47.5,46,60.04
2023,200,Texas,2,8,56.25,20.4,9,7,48.6,48.4,67.877
2023,201,Texas A&M,7,64,55.5556,17.7,10,8,47.5,52.5,48.574
2023,202,Texas A&M Corpus Chris,16,64,55.5556,-2,10,8,48.1,51.9,3.833
2023,203,Texas Southern,16,68,33.3333,-7.9,7,14,45.5,49.7,6.519
2023,210,UC Santa Barbara,14,64,78.9474,4.5,15,4,51.1,48.4,33.348
2023,212,UCLA,2,16,70.5882,25.1,12,5,49,48,83.585
2023,214,UNC Asheville,15,64,66.6667,-2.2,14,7,53.1,49,10.661
2023,218,USC,10,64,46.6667,14.1,7,8,49.8,45.1,71.583
2023,221,Utah St.,10,64,66.6667,16.8,12,6,54.5,46.9,15.41
2023,226,VCU,12,64,75,11.5,12,4,51.3,48.3,48.265
2023,227,Vermont,15,64,52.6316,3.2,10,9,52.3,51.4,4.102
2023,229,Virginia,4,64,62.5,14.9,10,6,49.8,50.9,54.569
2023,235,West Virginia,9,64,37.5,17.6,6,10,50.5,52.3,40.731
2023,244,Xavier,3,16,58.8235,19.8,10,7,55,51.6,53.584
2022,2,Akron,13,64,66.6667,7.4,12,6,52,46.8,14.226
2022,3,Alabama,6,64,37.5,16.9,6,10,52.3,52.3,62.2
2022,8,Arizona,1,16,82.3529,26,14,3,54.6,46.4,69.26
2022,10,Arkansas,4,8,57.1429,15.7,8,6,47.4,49.8,47.294
2022,12,Auburn,2,32,68.75,18.2,11,5,48.2,46,61.608
2022,14,Baylor,1,32,73.3333,23.6,11,4,50.3,51,55.889
2022,17,Boise St.,8,64,77.7778,17.5,14,4,50.8,46.5,32.117
2022,21,Bryant,16,68,50,-5.4,8,8,48.1,50.1,3.998
2022,28,Cal St. Fullerton,15,64,55.5556,-1.2,10,8,48.6,50.6,12.413
2022,31,Chattanooga,13,64,78.9474,10.1,15,4,52.5,51.1,20.793
2022,36,Colgate,14,64,44.4444,2.2,8,10,54.9,50.9,0.2
2022,39,Colorado St.,6,64,73.3333,13.8,11,4,53.3,49.5,19.502
2022,40,Connecticut,5,64,56.25,17.3,9,7,48.3,47,54.692
2022,43,Creighton,9,32,61.1111,12.3,11,7,49.7,46.2,67.849
2022,44,Davidson,10,64,73.6842,14.7,14,5,56,51.6,36.235
2022,46,Delaware,15,64,65,6.9,13,7,54.3,48.9,13.46
2022,50,Duke,2,4,81.25,30.6,13,3,54.6,47.7,91.521
2022,66,Georgia St.,16,64,62.5,2.1,10,6,45.3,50.5,28.01
2022,68,Gonzaga,1,16,76.9231,34.2,10,3,58.7,44.5,86.976
2022,76,Houston,5,8,76.4706,24.6,13,4,52.8,46.9,51.79
